,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Iddate,Idchg,machg,TradingDate_x,Symbol_x,ShortName,PE,PB,PS,Turnover,Liquidility,Symbol_y,TradingDate_y,Volatility,Beta1,Cor1,NonSysRisk1,Rsq1,ARsq1,time
34,603606.SH,20150402,26.69,27.88,26.5,27.77,26.61,1.16,4.36,52597.9,143979.126,20150402,0.4065,0.03141387179683397,20150402,603606,东方电缆,60.374463,5.088118,2.463674,0.14879,0.000259,,,,,,,,,34
35,603606.SH,20150403,27.78,30.45,27.5,29.02,27.77,1.25,4.5,60195.18,174460.036,20150403,0.9971,0.027646170000255932,20150403,603606,东方电缆,63.092075,5.317147,2.57457,0.17028,0.000259,,,,,,,,,35
36,603606.SH,20150407,29.02,30.78,28.87,29.74,29.02,0.72,2.48,43474.65,129551.335,20150407,2.522,0.018857936875537273,20150407,603606,东方电缆,64.657419,5.449068,2.638447,0.12298,0.000242,,,,,,,,,36
37,603606.SH,20150408,30.01,30.5,28.5,29.54,29.74,-0.2,-0.67,33972.59,100665.797,20150408,0.844,-0.015095304585009961,20150408,603606,东方电缆,64.222601,5.412423,2.620703,0.0961,0.000207,,,,,,,,,37
38,603606.SH,20150409,29.78,32.18,28.4,31.54,29.54,2.0,6.77,63843.07,193204.823,20150409,-0.9331,-0.016096470145667174,20150409,603606,东方电缆,68.57078,5.778871,2.798137,0.1806,0.000231,,,,,,,,,38
39,603606.SH,20150410,34.69,34.69,34.69,34.69,31.54,3.15,9.99,14568.27,50537.329,20150410,1.94,0.03012780975877205,20150410,603606,东方电缆,75.419162,6.356025,3.077596,0.04121,0.00048,,,,,,,,,39
0,603007.SH,20161216,50.58,52.28,50.58,51.8,50.54,1.26,2.49,25828.88,133228.915,20161216,0.1702,0.015566949651172779,20161216,603007,花王股份,101.871803,17.097094,12.82038,0.07745,0.000188,,,,,,,,,0
1,603007.SH,20161219,51.42,51.88,50.13,50.75,51.8,-1.05,-2.03,16060.19,82015.884,20161219,-0.1568,-0.007495987293797413,20161219,603007,花王股份,99.806834,16.750532,12.560508,0.04816,0.000193,,,,,,,,,1
2,603007.SH,20161220,50.44,51.8,50.41,51.18,50.75,0.43,0.85,13815.43,70789.719,20161220,-0.4878,0.0027263875365139967,20161220,603007,花王股份,100.652488,16.892457,12.666932,0.04143,0.000188,,,,,,,,,2
3,603007.SH,20161221,51.0,51.78,50.81,51.75,51.18,0.57,1.11,16935.18,87038.24,20161221,1.1136,0.018203439443834624,20161221,603007,花王股份,101.773471,17.080591,12.808006,0.05078,0.000184,,,,,,,,,3
4,603007.SH,20161222,51.8,52.95,51.3,52.64,51.75,0.89,1.72,25610.93,133618.037,20161222,0.0678,0.0045880972118488295,20161222,603007,花王股份,103.523778,17.374345,13.028279,0.07679,0.00018,,,,,,,,,4
5,603007.SH,20161223,53.0,53.0,49.48,50.13,52.64,-2.51,-4.77,23692.25,121180.275,20161223,-0.9366,-0.023374946893689796,20161223,603007,花王股份,98.587519,16.545895,12.407059,0.07104,0.000193,,,,,,,,,5
6,603007.SH,20161226,48.9,50.89,48.0,50.58,50.13,0.45,0.9,15536.99,76716.388,20161226,0.3992,0.009453298197181326,20161226,603007,花王股份,99.472505,16.694422,12.518433,0.04659,0.000189,,,,,,,,,6
7,603007.SH,20161227,50.7,52.68,50.57,51.28,50.58,0.7,1.38,19693.95,101984.333,20161227,-0.2532,0.007367505076036895,20161227,603007,花王股份,100.849151,16.925463,12.691682,0.05905,0.000186,,,,,,,,,7
8,603007.SH,20161228,51.0,51.28,50.15,50.39,51.28,-0.89,-1.74,11739.49,59369.05,20161228,-0.399,-0.007075044836040267,20161228,603007,花王股份,99.098844,16.63171,12.471409,0.0352,0.000191,,,,,,,,,8
9,603007.SH,20161229,52.5,53.71,51.3,51.7,50.39,1.31,2.6,35415.76,185949.098,20161229,-0.1979,-0.002145922746780715,20161229,603007,花王股份,101.675139,17.064088,12.795631,0.10619,0.000189,,,,,,,,,9
10,603007.SH,20161230,52.8,53.2,51.76,53.17,51.7,1.47,2.84,26905.45,141146.398,20161230,0.2435,-0.007130110049902827,20161230,603007,花王股份,104.566096,17.549276,13.159452,0.08068,0.000189,,,,,,,,,10
11,603007.SH,20170103,53.65,53.7,52.1,52.98,53.17,-0.19,-0.36,24900.74,131384.386,20170103,1.0402,0.012024331588626147,20170103,603007,花王股份,98.194199,8.478825,13.828755,0.07466,2.7e-05,,,,,,,,,11
12,603007.SH,20170104,53.15,53.18,52.23,52.9,52.98,-0.08,-0.15,19600.72,103204.071,20170104,0.7294,0.010228749033860396,20170104,603007,花王股份,98.045925,8.466022,13.807873,0.05877,2.1e-05,,,,,,,,,12
13,603007.SH,20170105,52.76,52.76,50.77,50.92,52.9,-1.98,-3.74,20660.72,107203.722,20170105,0.2095,-0.00699972326675502,20170105,603007,花王股份,94.376153,8.149146,13.291057,0.06195,0.00013,,,,,,,,,13
14,603007.SH,20170106,50.85,50.88,48.58,48.78,50.92,-2.14,-4.2,25973.38,128134.328,20170106,-0.3503,-0.013688300191800007,20170106,603007,花王股份,90.409834,7.806664,12.732477,0.07788,0.00018,,,,,,,,,14
15,603007.SH,20170109,48.0,49.09,48.0,48.74,48.78,-0.04,-0.08,10893.72,52988.773,20170109,0.5362,0.0027008609513683446,20170109,603007,花王股份,90.335697,7.800263,12.722037,0.03266,0.000147,,,,,,,,,15
16,603007.SH,20170110,48.67,49.08,46.65,47.0,48.74,-1.74,-3.57,14394.56,69110.425,20170110,-0.3016,-0.0017238950081641669,20170110,603007,花王股份,87.110746,7.521796,12.267865,0.04316,0.000209,,,,,,,,,16
17,603007.SH,20170111,46.97,46.98,44.03,44.26,47.0,-2.74,-5.83,25113.36,113634.536,20170111,-0.7881,-0.020695199647300155,20170111,603007,花王股份,82.032375,7.083292,11.552674,0.0753,0.000252,,,,,,,,,17
18,603007.SH,20170112,45.1,45.5,44.18,44.35,44.26,0.09,0.2,15298.14,68582.37,20170112,-0.5568,-0.013797060511099968,20170112,603007,花王股份,82.199183,7.097695,11.576166,0.04587,0.000224,,,,,,,,,18
19,603007.SH,20170113,44.0,44.25,41.1,41.35,44.35,-3.0,-6.76,24668.41,104110.509,20170113,-0.2092,-0.029430192799985933,20170113,603007,花王股份,76.638922,6.61758,10.793111,0.07397,0.000271,,,,,,,,,19
20,603007.SH,20170116,40.64,40.65,37.22,38.22,41.35,-3.13,-7.57,23378.42,91394.031,20170116,-0.2999,-0.046940996366453436,20170116,603007,花王股份,70.837717,6.116661,9.976123,0.0701,0.000327,,,,,,,,,20
21,603007.SH,20170117,38.0,40.27,37.22,39.9,38.22,1.68,4.4,23792.09,92649.378,20170117,0.1723,0.019594751509522057,20170117,603007,花王股份,73.951463,6.385525,10.414634,0.07134,0.000341,,,,,,,,,21
22,603007.SH,20170118,39.49,39.76,38.8,38.93,39.9,-0.97,-2.43,11823.79,46416.087,20170118,0.1363,-0.005836631267260639,20170118,603007,花王股份,72.153646,6.230288,10.161446,0.03545,0.000356,,,,,,,,,22
23,603007.SH,20170119,38.55,40.32,37.8,39.45,38.93,0.52,1.34,19022.78,74801.825,20170119,-0.3763,-0.0014701109265519152,20170119,603007,花王股份,73.117424,6.313508,10.297176,0.05704,0.000342,,,,,,,,,23
24,603007.SH,20170120,39.0,40.48,38.8,40.2,39.45,0.75,1.9,17103.84,68549.923,20170120,0.7042,0.015439770554493526,20170120,603007,花王股份,74.507489,6.433536,10.492939,0.05129,0.000338,,,,,,,,,24
25,603007.SH,20170123,40.17,41.0,39.9,40.23,40.2,0.03,0.07,14141.46,57015.771,20170123,0.4366,0.008802899778750373,20170123,603007,花王股份,74.563092,6.438338,10.50077,0.0424,0.000316,,,,,,,,,25
